fundingRate,time
0.000014875,1723993200.229
0.000014625,1723989600.035
0.000028,1723986000.195
0.000049125,1723982400.162
0.000014125,1723978800.733
-0.000004125,1723975200.384
0.000004625,1723971601.081
0.000000625,1723968000.899
0.000007625,1723964400.434
0.0000055,1723960800.273
0,1723957200.969
0.000002375,1723953601.023
0.000006625,1723950000.201
0.0000025,1723946400.197
0.000004875,1723942800.483
0.000003625,1723939200.694
0.00000175,1723935600.908
0.00000075,1723932000.177
-0.000001125,1723928400.708
0.000003875,1723924800.222
0.000005875,1723921200.44
0.000004,1723917600.057
0.000004875,1723914000.755
0.000004625,1723910403.354
0.000005,1723906800.388
0.00000475,1723903200.853
0.00000175,1723899600.499
-0.000012875,1723896000.343
-0.000007625,1723892400.093
0.000016375,1723888800.191
0.0000155,1723885200.19
0.0000145,1723881600.876
0.000007875,1723878000.277
0.000016625,1723874400.355
0.000009625,1723870800.184
0.000017125,1723867200.963
0.00000925,1723863600.653
0.00000925,1723860000.846
0.00000625,1723856400.507
0.000011625,1723852800.441
0.000010875,1723849200.288
0.0000055,1723845600.088
0.000002375,1723842001.298
0.000002875,1723838400.727
0.0000005,1723834801.383
0.00000425,1723831200.857
0.000001125,1723827600.184
-0.00000325,1723824001.503
0.000013,1723820400.802
0.00000225,1723816800.797
-0.000017625,1723813200.727
0.00000925,1723809600.702
0.00001175,1723806000.023
0.000011375,1723802400.301
0.000007625,1723798800.333
0.00002575,1723795200.806
0.000047125,1723791600.332
-0.00001125,1723788001.043
-0.000019375,1723784400.967
-0.000007,1723780800.865
-0.00001675,1723777200.525
-0.000002125,1723773601.016
0.0000015,1723770001.066
-0.000015625,1723766400.294
-0.00001775,1723762800.902
-0.00000525,1723759200.111
-0.00000575,1723755600.075
-0.00000775,1723752000.502
-0.000038375,1723748401.13
0.000003375,1723744801.418
-0.000001875,1723741200.451
0.000002375,1723737600.891
0.00000975,1723734000.71
0.00000825,1723730400.437
0.00003425,1723726800.404
0.000038875,1723723200.689
0.000049875,1723719601.026
0.00003525,1723716001.035
0.000019,1723712400.691
-0.000009125,1723708800.777
-0.0000005,1723705200.885
0.000006875,1723701600.369
0.000009125,1723698001.013
0.0000125,1723694401.034
0.000007125,1723690800.676
0.000008875,1723687201.428
0.000002,1723683600.061
0.000002,1723680000.076
0.00000275,1723676400.72
0.00001,1723672800.158
-0.000024,1723669200.604
-0.000024125,1723665601.251
0.000038875,1723662000.58
0.0000005,1723658400.939
0.00000125,1723654800.443
0.000032,1723651200.143
0.000055625,1723647600.079
-0.0000155,1723644001.731
0.0000045,1723640400.302
-0.0000045,1723636800.182
-0.000012,1723633200.374
-0.000017125,1723629600.562
-0.000005875,1723626000.476
0.000009875,1723622400.744
0.00000625,1723618800.412
0.000003875,1723615201.71
0.0000055,1723611600.114
0.000010375,1723608000.974
0.000007375,1723604400.939
0.000010625,1723600800.291
0.0000005,1723597200.104
0.00001025,1723593600.515
0.0000385,1723590000.275
0.0000085,1723586401.163
-0.000034,1723582800.58
-0.0000165,1723579200.631
0.000007625,1723575600.088
0.0000245,1723572000.586
0.000014375,1723568400.465
0.000004125,1723564800.935
0.000009875,1723561200.886
0.000000625,1723557600.505
-0.0000015,1723554000.564
0.000004625,1723550400.374
-0.0000035,1723546800.301
-0.000019375,1723543201.155
-0.00000475,1723539601.009
0.00000025,1723536000.73
0.000013375,1723532400.213
0.000029125,1723528800.644
-0.000002,1723525200.329
0.000004,1723521600.867
0.000008125,1723518000.775
0.00001775,1723514400.631
-0.00000775,1723510800.333
0.000009375,1723507201.07
0.000019,1723503600.479
-0.000007625,1723500000.052
-0.000022125,1723496400.432
0.000017,1723492800.388
0.000009875,1723489200.778
0.000000125,1723485601.516
-0.0000065,1723482000.013
0.00001175,1723478400.395
0.00002675,1723474801.066
0.000006875,1723471200.774
0.000002625,1723467601.085
0.0000095,1723464000.537
0.000005375,1723460400.603
-0.000006,1723456800.925
0.000015875,1723453200.547
-0.000003625,1723449600.799
0.000009375,1723446000.404
0.000010375,1723442400.482
0.00001375,1723438800.559
0.000011375,1723435200.353
0.00000575,1723431600.53
0.000018875,1723428000.777
0.000008125,1723424401.084
0.0000135,1723420800.043
-0.000007375,1723417200.707
0.000001375,1723413600.693
0.000012125,1723410000.104
0.00001,1723406400.166
0.000013625,1723402800.608
0.00001625,1723399200.681
0.000016,1723395600.718
0.00000825,1723392000.089
0.000010625,1723388400.503
-0.0000035,1723384800.823
0.00001525,1723381200.511
0.000004625,1723377600.287
0.000013375,1723374000.711
0.000016375,1723370400.547
0.0000205,1723366801.029
0.00000625,1723363200.303
0.000026875,1723359600.154
0.000033875,1723356000.733
0.00001025,1723352400.835
0.000017125,1723348800.928
0.000014125,1723345201.23
0.00001175,1723341600.85
0.000009375,1723338000.382
0.000006,1723334400.332
0.00001275,1723330800.892
0.00001275,1723327200.228
0.000010625,1723323600.43
0.000011,1723320000.368
0.000016875,1723316400.866
0.0000115,1723312800.317
0.00000625,1723309200.245
0.00001175,1723305600.267
0.000003,1723302001.103
-0.000008375,1723298400.388
0.0000205,1723294800.941
0.000024625,1723291201.41
0.00000425,1723287600.401
0.00001725,1723284000.32
0.000019,1723280400.519
0.000011875,1723276800.267
0.000017875,1723273200.048
0.00001375,1723269600.684
0.000012875,1723266000.779
0.00001325,1723262400.103
0.00000875,1723258800.824
0.00001725,1723255200.822
0.000009625,1723251600.119
0.000006625,1723248000.941
0.000005,1723244400.393
0.000004875,1723240800.179
0.000006625,1723237200.731
0.000040375,1723233600.205
0.00000275,1723230000.348
0.0000105,1723226400.309
0.000007125,1723222800.063
0.0000085,1723219200.805
0.000003875,1723215600.655
0.000013125,1723212000.684
0.00001425,1723208400.249
0.000011875,1723204800.734
0.00000225,1723201200.052
0.0000035,1723197600.026
0.000004625,1723194000.235
-0.000008375,1723190400.45
0.0000025,1723186800.156
-0.000000375,1723183200.722
-0.000001875,1723179600.512
