fundingRate,time
0.0000125,1706828400172
0.0000125,1706832000429
0.0000125,1706835600381
0.0000125,1706839200337
0.0000125,1706842800445
0.0000125,1706846400163
0.0000125,1706850000221
0.0000125,1706853600110
0.0000125,1706857200411
0.0000125,1706860800386
0.0000125,1706864400182
0.0000125,1706868000364
0.0000125,1706871600231
0.0000125,1706875200334
0.0000125,1706878800198
0.0000125,1706882400391
0.00000624,1706886000184
0.0000125,1706889600281
0.0000125,1706893200274
0.00001067,1706896800150
0.0000125,1706900400211
0.0000125,1706904000055
0.0000125,1706907600216
0.0000125,1706911200427
0.0000125,1706914800162
0.0000125,1706918400226
0.0000125,1706922000227
0.0000125,1706925600016
0.00000978,1706929200011
0.00000431,1706932800135
-0.00000065,1706936400020
-0.00000257,1706940000181
0.00000677,1706943600324
0.00000198,1706947200029
0.0000125,1706950800078
0.0000125,1706954400047
0.0000125,1706958000007
-0.00000248,1706961600302
-0.00000282,1706965200319
0.00000147,1706968800055
0.0000096,1706972400386
-0.00000384,1706976000143
-0.00000682,1706979600135
-0.00002122,1706983200349
-0.00001859,1706986800162
-0.00001723,1706990400032
-0.00002534,1706994000426
-0.00003282,1706997600429
-0.00001905,1707001200194
-0.00002356,1707004800077
0.00000079,1707008400091
-0.00000284,1707012000437
0.0000125,1707015600432
0.0000125,1707019200203
0.0000125,1707022800426
0.0000125,1707026400111
0.0000125,1707030000054
0.0000125,1707033600042
0.0000125,1707037200442
0.0000125,1707040800295
0.00000921,1707044400046
0.0000125,1707048000087
0.0000125,1707051600106
0.0000109,1707055200032
0.0000104,1707058800431
0.0000125,1707062400464
0.0000125,1707066000081
0.0000125,1707069600049
0.0000125,1707073200389
0.0000125,1707076800429
0.0000125,1707080400285
-0.00000174,1707084000284
0.00000887,1707087600360
0.00001248,1707091200200
0.00000326,1707094800241
0.0000125,1707098400113
0.00000914,1707102000277
0.0000078,1707105600015
0.00000955,1707109200111
0.00000102,1707112800037
0.00001015,1707116400156
-0.00000045,1707120000278
0.0000125,1707123600022
0.0000125,1707127200297
0.0000125,1707130800129
0.0000125,1707134400041
0.0000125,1707138000275
0.0000125,1707141600298
0.0000125,1707145200029
0.0000125,1707148800098
0.0000125,1707152400397
0.0000125,1707156000103
0.0000125,1707159600098
0.0000125,1707163200181
0.0000125,1707166800058
0.0000125,1707170400193
0.0000125,1707174000136
0.00001844,1707177600287
0.0000125,1707181200120
0.0000125,1707184800042
0.000013,1707188400352
0.0000125,1707192000191
0.0000125,1707195600159
0.0000125,1707199200268
0.0000125,1707202800095
0.0000125,1707206400193
0.0000125,1707210000314
0.0000125,1707213600326
0.0000125,1707217200082
0.0000125,1707220800331
0.0000125,1707224400009
0.0000125,1707228000357
0.0000125,1707231600309
0.00001197,1707235200095
0.0000125,1707238800373
0.00000156,1707242400264
-0.00000542,1707246000007
-0.00001768,1707249600434
-0.00001538,1707253200430
-0.00000084,1707256800188
0.0000125,1707260400019
0.0000125,1707264000076
0.0000125,1707267600365
0.0000125,1707271200180
0.0000125,1707274800410
0.0000125,1707278400231
0.0000125,1707282000130
0.0000125,1707285600127
0.0000125,1707289200172
0.0000125,1707292800135
0.0000125,1707296400333
0.0000125,1707300000436
0.0000125,1707303600187
0.0000125,1707307200064
0.0000125,1707310800410
0.0000125,1707314400111
0.0000125,1707318000257
0.0000125,1707321600012
0.0000125,1707325200297
0.0000125,1707328800192
0.00001253,1707332400252
0.00002031,1707336000087
0.0000125,1707339600286
0.0000125,1707343200015
0.0000125,1707346800166
0.0000125,1707350400230
0.0000125,1707354000372
0.0000125,1707357600150
0.0000125,1707361200282
0.0000125,1707364800296
0.0000125,1707368400015
0.0000125,1707372000275
0.0000125,1707375600061
0.0000125,1707379200130
0.0000125,1707382800338
0.0000125,1707386400044
0.0000125,1707390000196
0.00001278,1707393600174
0.00002226,1707397200047
0.00001357,1707400800201
0.00003677,1707404400314
0.00007867,1707408000438
0.00005153,1707411600438
0.0000687,1707415200111
0.00007478,1707418800410
0.00008089,1707422400285
0.00008746,1707426000156
0.00011312,1707429600093
0.00013258,1707433200304
0.00010245,1707436800020
0.0000125,1707440400072
0.0000125,1707444000097
0.00006422,1707447600006
0.00004283,1707451200307
0.0000125,1707454800395
0.00006794,1707458400176
0.00009256,1707462000201
0.00009938,1707465600281
0.00005407,1707469200019
0.00007385,1707472800031
0.00007605,1707476400273
0.0000944,1707480000259
0.00002602,1707483600286
0.00003156,1707487200036
0.00010493,1707490800143
0.00008522,1707494400388
0.0000125,1707498000260
0.0000125,1707501600131
0.00001972,1707505200346
0.00001726,1707508800368
0.00006288,1707512400421
0.00006128,1707516000144
0.00002978,1707519600154
0.00001442,1707523200092
0.00002416,1707526800038
0.00003682,1707530400259
0.00005586,1707534000051
0.0000817,1707537600360
0.0000757,1707541200019
0.00007705,1707544800148
0.0000584,1707548400189
0.00005584,1707552000217
0.00001619,1707555600293
0.00005485,1707559200453
0.00002083,1707562800101
0.00002508,1707566400101
0.00004719,1707570000246
0.0000644,1707573600438
0.0000231,1707577200295
0.00002748,1707580800073
0.00001555,1707584400391
0.0000125,1707588000163
0.00002624,1707591600042
0.0000125,1707595200146
0.0000125,1707598800387
0.0000125,1707602400124
0.0000125,1707606000002
0.00001285,1707609600201
0.0000125,1707613200213
0.0000125,1707616800456
0.0000125,1707620400001
0.0000125,1707624000309
0.0000125,1707627600220
0.0000125,1707631200068
0.00002593,1707634800071
0.0000423,1707638400056
0.00001427,1707642000123
0.00002643,1707645600059
0.00002563,1707649200187
0.00001631,1707652800034
0.00004794,1707656400156
0.00002978,1707660000072
0.0000125,1707663600303
0.0000125,1707667200086
0.0000125,1707670800246
0.00001622,1707674400022
0.00002918,1707678000051
0.0000578,1707681600108
0.00006499,1707685200377
0.0000125,1707688800405
0.0000125,1707692400012
0.0000125,1707696000190
0.0000226,1707699600197
0.00004816,1707703200120
0.00001796,1707706800377
0.00004301,1707710400280
0.00008098,1707714000293
0.00002476,1707717600396
0.0000125,1707721200302
0.00001706,1707724800013
0.00001739,1707728400082
0.0000125,1707732000424
0.0000125,1707735600318
0.0000125,1707739200138
0.00001994,1707742800325
0.0000215,1707746400118
0.00001973,1707750000172
0.00014203,1707753600461
0.00012063,1707757200099
0.00059808,1707760800357
0.00007062,1707764400306
0.00007992,1707768000368
0.00007056,1707771600344
0.00007583,1707775200194
0.00003231,1707778800322
0.00003542,1707782400444
0.00002625,1707786000023
0.00005458,1707789600245
0.00008101,1707793200361
0.00005452,1707796800105
0.0000617,1707800400016
0.00008325,1707804000077
0.00009886,1707807600215
0.0000628,1707811200348
0.00006339,1707814800228
0.00005059,1707818400422
0.00002234,1707822000245
0.00002011,1707825600339
0.00004432,1707829200021
0.0000125,1707832800395
0.0000125,1707836400106
0.0000306,1707840000108
0.0000125,1707843600385
0.00001933,1707847200380
0.00003405,1707850800322
0.00003654,1707854400173
0.00004388,1707858000414
0.000072,1707861600063
0.00007537,1707865200438
0.00002292,1707868800118
0.0000125,1707872400004
0.0000125,1707876000032
0.0000125,1707879600034
0.00003859,1707883200168
0.00004492,1707886800071
0.00005409,1707890400251
0.00004384,1707894000093
0.00012118,1707897600342
0.0000888,1707901200058
0.00010459,1707904800001
0.0000829,1707908400361
0.00009352,1707912000189
0.0000744,1707915600452
0.0000716,1707919200005
0.00010011,1707922800050
0.00002221,1707926400368
0.0000125,1707930000276
0.0000125,1707933600006
0.0000125,1707937200342
0.0000125,1707940800312
0.0000125,1707944400104
0.00002488,1707948000432
0.00004701,1707951600032
0.00006439,1707955200231
0.00004906,1707958800105
0.00004403,1707962400435
0.00007001,1707966000082
0.00009915,1707969600081
0.00008525,1707973200078
0.00004406,1707976800293
0.0000125,1707980400323
0.00001798,1707984000431
0.00002187,1707987600332
0.00004024,1707991200010
0.00005676,1707994800191
0.00006186,1707998400167
0.00001523,1708002000029
0.0000125,1708005600187
0.00005523,1708009200380
0.00003937,1708012800409
0.0000125,1708016400391
0.0000125,1708020000409
0.00001653,1708023600042
0.00002613,1708027200171
0.00001446,1708030800252
0.00001685,1708034400074
0.0000125,1708038000026
0.0000125,1708041600177
0.0000125,1708045200239
0.0000125,1708048800337
0.0000125,1708052400049
0.00002091,1708056000204
0.00001981,1708059600391
0.00003358,1708063200184
0.0000125,1708066800066
0.0000125,1708070400023
0.0000125,1708074000035
0.00002305,1708077600283
0.0000125,1708081200398
0.0000125,1708084800022
0.0000125,1708088400066
0.00003952,1708092000153
0.0000125,1708095600336
0.0000125,1708099200112
0.0000125,1708102800022
0.0000125,1708106400011
0.0000125,1708110000362
0.0000125,1708113600192
0.0000125,1708117200438
0.0000125,1708120800121
0.0000125,1708124400026
0.00002992,1708128000437
0.00001701,1708131600462
0.00002649,1708135200172
0.00004628,1708138800390
0.00004567,1708142400450
0.00005622,1708146000109
0.00007264,1708149600235
0.00008436,1708153200089
0.00007691,1708156800087
0.00002265,1708160400153
0.0000125,1708164000377
0.0000125,1708167600001
0.0000125,1708171200109
0.0000125,1708174800437
0.0000125,1708178400152
0.00004354,1708182000325
0.0000654,1708185600123
0.00003279,1708189200142
0.00003383,1708192800144
0.0000125,1708196400011
0.0000125,1708200000418
0.00001649,1708203600125
0.00003286,1708207200205
0.00003749,1708210800237
0.00001997,1708214400368
0.0000125,1708218000330
0.000015,1708221600076
0.00002204,1708225200072
0.00003654,1708228800438
0.00004343,1708232400021
0.00004763,1708236000368
0.00004981,1708239600431
0.00005896,1708243200055
0.00001987,1708246800393
0.0000125,1708250400393
0.0000125,1708254000083
0.0000125,1708257600056
0.00001966,1708261200005
0.00002409,1708264800068
0.00002326,1708268400062
0.00002352,1708272000061
0.0000125,1708275600108
0.0000125,1708279200398
0.00001715,1708282800426
0.00002237,1708286400084
0.00002741,1708290000423
0.00003525,1708293600206
0.00002801,1708297200209
0.00005875,1708300800026
0.00003287,1708304400061
0.00002683,1708308000427
0.00003128,1708311600104
0.00002772,1708315200107
0.00001472,1708318800221
0.0000125,1708322400026
0.00003432,1708326000209
0.00005241,1708329600179
0.0000125,1708333200443
0.0000125,1708336800362
0.00001505,1708340400218
0.00002641,1708344000140
0.00003549,1708347600444
0.00001642,1708351200174
0.0000125,1708354800353
0.00001599,1708358400079
0.0000125,1708362000238
0.0000125,1708365600027
0.0000125,1708369200201
0.00001798,1708372800433
0.00002235,1708376400073
0.00002039,1708380000090
0.00002825,1708383600098
0.00002764,1708387200035
0.0000125,1708390800412
0.0000125,1708394400193
0.0000125,1708398000366
0.0000125,1708401600146
0.0000125,1708405200137
0.00002307,1708408800424
0.00002764,1708412400392
0.00001739,1708416000011
0.0000125,1708419600003
0.0000125,1708423200408
0.0000125,1708426800023
0.00003633,1708430400038
0.00003518,1708434000049
0.00004475,1708437600099
0.0000125,1708441200262
0.0000125,1708444800133
0.0000125,1708448400326
0.0000125,1708452000235
0.0000125,1708455600297
0.00001381,1708459200280
0.0000159,1708462800065
0.00003149,1708466400410
0.00004097,1708470000421
0.00006913,1708473600158
0.00003788,1708477200089
0.00003386,1708480800110
0.00003482,1708484400249
0.00003653,1708488000245
0.0000125,1708491600359
0.0000125,1708495200351
0.0000125,1708498800228
0.0000125,1708502400447
0.0000125,1708506000349
0.0000125,1708509600019
0.0000125,1708513200042
0.0000125,1708516800079
0.0000125,1708520400096
0.0000125,1708524000201
0.0000125,1708527600106
0.0000125,1708531200091
0.0000125,1708534800392
0.0000125,1708538400132
0.0000125,1708542000266
0.0000125,1708545600084
0.0000125,1708549200333
0.0000125,1708552800340
0.00002628,1708556400194
0.00004841,1708560000194
0.0000125,1708563600391
0.0000125,1708567200038
0.0000125,1708570800143
0.0000125,1708574400107
0.0000125,1708578000327
0.0000125,1708581600407
0.0000125,1708585200377
0.00002793,1708588800071
0.0000125,1708592400033
0.0000125,1708596000218
0.0000125,1708599600079
0.0000125,1708603200118
0.0000125,1708606800185
0.0000125,1708610400266
0.0000125,1708614000097
0.0000125,1708617600173
0.0000125,1708621200245
0.0000125,1708624800241
0.0000125,1708624800241
0.0000125,1708628400338
0.0000125,1708632000143
0.0000125,1708635600072
0.0000125,1708639200107
0.0000125,1708642800041
0.0000125,1708646400106
0.0000125,1708650000265
0.0000125,1708653600420
0.0000125,1708657200145
0.0000125,1708660800088
0.0000125,1708664400127
0.0000125,1708668000350
0.00001883,1708671600262
0.00003005,1708675200015
0.00002573,1708678800172
0.00002463,1708682400443
0.00002713,1708686000172
0.00002887,1708689600188
0.00002439,1708693200273
0.0000125,1708696800173
0.0000125,1708700400022
0.0000125,1708704000129
0.0000125,1708707600153
0.0000125,1708711200027
0.0000125,1708714800093
0.0000125,1708718400206
0.0000125,1708722000322
0.0000125,1708725600389
0.0000125,1708729200247
0.0000125,1708732800063
0.0000125,1708736400146
0.0000125,1708740000056
0.0000125,1708743600333
0.0000125,1708747200349
0.0000125,1708750800180
0.0000125,1708754400372
0.0000125,1708758000015
0.0000125,1708761600021
0.0000125,1708765200039
0.0000125,1708768800045
0.0000125,1708772400133
0.0000125,1708776000284
0.0000125,1708779600131
0.0000125,1708783200247
0.0000125,1708786800186
0.0000125,1708790400215
0.0000125,1708794000098
0.00002116,1708797600024
0.00002763,1708801200350
0.00003094,1708804800403
0.00004525,1708808400167
0.00005494,1708812000030
0.00007703,1708815600422
0.00009001,1708819200407
0.00004492,1708822800153
0.00003287,1708826400332
0.00003239,1708830000164
0.0000125,1708833600037
0.0000125,1708837200401
0.0000125,1708840800220
0.0000125,1708844400264
0.00001701,1708848000038
0.0000125,1708851600318
0.0000125,1708855200099
0.0000125,1708858800266
0.0000125,1708862400337
0.0000125,1708866000185
0.0000125,1708869600126
0.0000125,1708873200415
0.0000125,1708876800079
0.0000125,1708880400441
0.0000125,1708884000161
0.0000125,1708887600195
0.0000125,1708891200104
0.00001953,1708894800013
0.00002112,1708898400330
0.00002586,1708902000236
0.00002503,1708905600456
0.0000125,1708909200414
0.0000125,1708912800300
