fundingRate,time
0.000005125,1723993200.229
0.0000085,1723989600.035
0.00000675,1723986000.195
0.000012125,1723982400.162
0.000007125,1723978800.733
0.00000975,1723975200.384
0.00001,1723971601.081
0,1723968000.899
0.0000025,1723964400.434
-0.000004,1723960800.273
-0.000003625,1723957200.969
-0.00000125,1723953601.023
-0.0000005,1723950000.201
-0.000001375,1723946400.197
-0.000002375,1723942800.483
-0.000002875,1723939200.694
-0.000001,1723935600.908
-0.00000025,1723932000.177
-0.000003625,1723928400.708
-0.000001625,1723924800.222
-0.000002375,1723921200.44
-0.000005625,1723917600.057
-0.0000015,1723914000.755
-0.00000525,1723910403.354
-0.000003875,1723906800.388
-0.000003625,1723903200.853
-0.000002375,1723899600.499
-0.00000575,1723896000.343
-0.000004125,1723892400.093
-0.000004,1723888800.191
-0.000000875,1723885200.19
-0.000003875,1723881600.876
-0.000002875,1723878000.277
-0.000005,1723874400.355
-0.000002375,1723870800.184
-0.00000575,1723867200.963
-0.000003875,1723863600.653
-0.0000025,1723860000.846
-0.0000035,1723856400.507
-0.000002,1723852800.441
-0.000002875,1723849200.288
-0.000005875,1723845600.088
-0.00000025,1723842001.298
0.00000075,1723838400.727
0.000000375,1723834801.383
-0.000002,1723831200.857
-0.000003625,1723827600.184
-0.000012125,1723824001.503
0.0000005,1723820400.802
-0.000012125,1723816800.797
-0.00002475,1723813200.727
0.0000045,1723809600.702
0.000005375,1723806000.023
0.000004875,1723802400.301
0.000002625,1723798800.333
0.000030375,1723795200.806
0.000028125,1723791600.332
-0.000014375,1723788001.043
-0.00001275,1723784400.967
-0.00001525,1723780800.865
-0.000016,1723777200.525
-0.000017875,1723773601.016
-0.0000195,1723770001.066
-0.000017875,1723766400.294
-0.000023125,1723762800.902
-0.000013375,1723759200.111
-0.000021125,1723755600.075
-0.0000145,1723752000.502
-0.000028375,1723748401.13
-0.000004125,1723744801.418
-0.000005125,1723741200.451
-0.000000125,1723737600.891
-0.000001375,1723734000.71
0.000009,1723730400.437
0.00003575,1723726800.404
0.000054375,1723723200.689
0.000055125,1723719601.026
-0.000016375,1723716001.035
-0.0000205,1723712400.691
0.000002625,1723708800.777
0.000003,1723705200.885
0.00000475,1723701600.369
-0.000000875,1723698001.013
0.000003375,1723694401.034
-0.00001125,1723690800.676
0.0000075,1723687201.428
0.000003625,1723683600.061
0.00000575,1723680000.076
0.000007625,1723676400.72
0.00000425,1723672800.158
-0.00000175,1723669200.604
