fundingRate,time
-0.00005142,1706828400172
-0.00006761,1706832000429
-0.00000812,1706835600381
0.0000093,1706839200337
0.0000125,1706842800445
0.0000125,1706846400163
0.0000125,1706850000221
0.0000125,1706853600110
0.0000125,1706857200411
0.0000125,1706860800386
0.0000125,1706864400182
0.0000125,1706868000364
0.0000125,1706871600231
0.00002149,1706875200334
0.00005325,1706878800198
0.0000125,1706882400391
0.0000125,1706886000184
0.00001439,1706889600281
0.0000125,1706893200274
0.0000125,1706896800150
0.0000125,1706900400211
0.0000125,1706904000055
0.0000125,1706907600216
0.0000125,1706911200427
0.0000125,1706914800162
0.0000125,1706918400226
0.0000125,1706922000227
0.0000125,1706925600016
0.0000125,1706929200011
0.0000125,1706932800135
0.00000821,1706936400020
0.00001011,1706940000181
0.00000175,1706943600324
0.00000794,1706947200029
0.0000125,1706950800078
0.0000125,1706954400047
0.0000125,1706958000007
0.0000125,1706961600302
0.0000125,1706965200319
0.0000125,1706968800055
0.00000883,1706972400386
-0.00001102,1706976000143
-0.00000386,1706979600135
0.00000783,1706983200349
0.0000125,1706986800162
0.0000125,1706990400032
0.0000125,1706994000426
0.0000125,1706997600429
0.0000125,1707001200194
0.0000125,1707004800077
0.0000125,1707008400091
0.0000125,1707012000437
0.0000125,1707015600432
0.0000125,1707019200203
0.00006683,1707022800426
0.0000125,1707026400111
0.0000125,1707030000054
0.0000125,1707033600042
0.0000125,1707037200442
-0.00000244,1707040800295
-0.00001056,1707044400046
-0.00002113,1707048000087
-0.00003578,1707051600106
-0.00002909,1707055200032
-0.00001362,1707058800431
-0.00001691,1707062400464
-0.00000216,1707066000081
-0.00000123,1707069600049
0.00000083,1707073200389
0.0000125,1707076800429
0.0000125,1707080400285
0.00001023,1707084000284
0.0000125,1707087600360
0.0000125,1707091200200
0.0000125,1707094800241
-0.00000776,1707098400113
-0.00002236,1707102000277
0.00000275,1707105600015
0.0000125,1707109200111
-0.00000245,1707112800037
0.00000371,1707116400156
0.00000891,1707120000278
0.0000125,1707123600022
0.0000125,1707127200297
0.0000125,1707130800129
0.0000125,1707134400041
0.0000125,1707138000275
0.0000125,1707141600298
0.00000855,1707145200029
-0.00000682,1707148800098
-0.00001515,1707152400397
-0.0000279,1707156000103
-0.00003307,1707159600098
-0.00002368,1707163200181
-0.00002008,1707166800058
0.00000815,1707170400193
